studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS359	time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS363	Elapsed time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		Elapsed Time	http://purl.obolibrary.org/obo/NCIT_C82572	The interval between two reference points in time.
MTBLS363	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS364	smoking status	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796	
		Smoking Status	http://purl.obolibrary.org/obo/NCIT_C19796	An indication of a person's current tobacco and nicotine consumption as well as some indication of smoking history.
		smoking status	http://purl.obolibrary.org/obo/GENEPIO_0001093	
MTBLS364	gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS366	station	Station	http://sweet.jpl.nasa.gov/2.3/matrFacility.owl#Station	
		Station	http://purl.obolibrary.org/obo/NCIT_C67102	A facility or location equipped with special equipment and/or personnel for a particular purpose.
MTBLS366	depth	Depth	http://sweet.jpl.nasa.gov/2.3/propSpaceHeight.owl#Depth	
		Depth	http://purl.obolibrary.org/obo/NCIT_C25333	The extent downward or inward; the perpendicular measurement from the surface downward to determine deepness.
		depth	http://purl.obolibrary.org/obo/PATO_0001595	A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision.
		depth	http://semanticscience.org/resource/SIO_000039	depth is the dimensional extent into a plane of a 3D projection of the object.
MTBLS368	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS368	Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS368	Dosage	milligram per kilogram body weight	http://www.ebi.ac.uk/efo/EFO_0005354	
		Cumulative Dose	http://purl.obolibrary.org/obo/NCIT_C94394	
		Dose	http://purl.obolibrary.org/obo/NCIT_C25488	A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.
MTBLS370	Species	organism	http://purl.obolibrary.org/obo/OBI_0100026	
		Species	http://purl.obolibrary.org/obo/NCIT_C45293	A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.
		organism	http://purl.obolibrary.org/obo/OBI_0100026	A material entity that is an individual living system, such as animal, plant, bacteria or virus, that is capable of replicating or reproducing, growth and maintenance in the right environment. An organism may be unicellular or made up, like humans, of many billions of cells divided into specialized tissues and organs. E.g Drosophila melanogaster
		species	http://purl.obolibrary.org/obo/TAXRANK_0000006	
		Species	http://purl.obolibrary.org/obo/SIBO_0000477	
		species	http://purl.obolibrary.org/obo/NCBITaxon_species	
		SEND Test System Common Name	http://purl.obolibrary.org/obo/NCIT_C96433	The common name for an animal used as the test system on a nonclinical study.
		CDISC SEND Laboratory Animal Species Terminology	http://purl.obolibrary.org/obo/NCIT_C77808	A terminology set that includes concepts relevant to CDISC SEND laboratory animal species.
MTBLS370	Extract	Extraction		
		Extract	http://purl.obolibrary.org/obo/NCIT_C82948	A solution of essential constituents of a complex material; a substance removed from another substance.
		extract	http://purl.obolibrary.org/obo/OBI_0000423	an extract is a material entity which results from an extraction process
		extract	http://www.bioassayontology.org/bao#BAO_0003070	
		Extract Dosage Form	http://purl.obolibrary.org/obo/NCIT_C42929	A distillate composed of active and/or inert ingredient(s) extracted from plant or animal matter, and represented in concentrated form.
MTBLS373	extract	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Extract	http://purl.obolibrary.org/obo/NCIT_C82948	A solution of essential constituents of a complex material; a substance removed from another substance.
		extract	http://purl.obolibrary.org/obo/OBI_0000423	an extract is a material entity which results from an extraction process
		extract	http://www.bioassayontology.org/bao#BAO_0003070	
		Extract Dosage Form	http://purl.obolibrary.org/obo/NCIT_C42929	A distillate composed of active and/or inert ingredient(s) extracted from plant or animal matter, and represented in concentrated form.
MTBLS373	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS374	smoking status	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796	
		Smoking Status	http://purl.obolibrary.org/obo/NCIT_C19796	An indication of a person's current tobacco and nicotine consumption as well as some indication of smoking history.
		smoking status	http://purl.obolibrary.org/obo/GENEPIO_0001093	
MTBLS374	gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS376	Antibiotic treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	
		antibiotic treatment	http://purl.obolibrary.org/obo/EO_0007041	A chemical treatment (EO:0007189) involving the use of antibiotic for selection purposes.
		antibiotic treatment	http://purl.obolibrary.org/obo/NCRO_0000230	
MTBLS379	honeybee	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Apis mellifera	http://purl.obolibrary.org/obo/NCBITaxon_7460	A species of genus Apis.
MTBLS380	sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
MTBLS382	sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
MTBLS383	Species	Species	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45293	
		Species	http://purl.obolibrary.org/obo/NCIT_C45293	A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.
		organism	http://purl.obolibrary.org/obo/OBI_0100026	A material entity that is an individual living system, such as animal, plant, bacteria or virus, that is capable of replicating or reproducing, growth and maintenance in the right environment. An organism may be unicellular or made up, like humans, of many billions of cells divided into specialized tissues and organs. E.g Drosophila melanogaster
		species	http://purl.obolibrary.org/obo/TAXRANK_0000006	
		Species	http://purl.obolibrary.org/obo/SIBO_0000477	
		species	http://purl.obolibrary.org/obo/NCBITaxon_species	
		SEND Test System Common Name	http://purl.obolibrary.org/obo/NCIT_C96433	The common name for an animal used as the test system on a nonclinical study.
		CDISC SEND Laboratory Animal Species Terminology	http://purl.obolibrary.org/obo/NCIT_C77808	A terminology set that includes concepts relevant to CDISC SEND laboratory animal species.
MTBLS384	Experiment	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Experiment	http://purl.obolibrary.org/obo/NCIT_C42790	A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.
		experiment	http://semanticscience.org/resource/SIO_000994	An experiment is an investigation that has the goal of verifying, falsifying, or establishing the validity of a hypothesis. 
		experiment	http://purl.obolibrary.org/obo/AGRO_00000369	A planned process in which a procedure is carried out to support, refute, or validate a hypothesis.
		experimental process	http://www.ebi.ac.uk/efo/EFO_0002694	A process performed as part of an experiment or wider study, i.e. intentionally designed.
		Experiment Object	http://purl.obolibrary.org/obo/NCIT_C44173	The Experiment is the collection of all the BioAssays that are related by the ExperimentDesign. (caMAGE)
MTBLS385	Patient	Patient	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16960	
		Patient	http://purl.obolibrary.org/obo/NCIT_C16960	A person who receives medical attention, care, or treatment, or who is registered with medical professional or institution with the purpose to receive medical care when necessary.
		patient	http://purl.obolibrary.org/obo/IDOMAL_0000603	A person under health care. The person may be waiting for this care or may be receiving it or may have already received it.
		patient	http://purl.obolibrary.org/obo/AERO_0000270	
		patient	http://semanticscience.org/resource/SIO_000393	A patient is an individual that is the recepient of medical care.
		patient	http://purl.obolibrary.org/obo/OAE_0001817	an organism that has the role of 'patient role'.
		Veterinary Patient	http://purl.obolibrary.org/obo/NCIT_C53691	A non-human animal that is a subject in a study.
MTBLS385	Sex	Sex	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28421	
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
		sex	http://purl.obolibrary.org/obo/FBcv_0000332	Qualifier that relates the expression of a phenotype to the sex of the individual.
		Sex	http://purl.obolibrary.org/obo/OMIT_0013619	
		Sex determination	http://www.cropontology.org/rdf/CO_357:1000066	Determination of the tree sex
		SEX	http://www.cropontology.org/rdf/CO_357:0000078	
		sex	http://purl.obolibrary.org/obo/PATO_0000047	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
		CDISC SDTM Sex of Individual Terminology	http://purl.obolibrary.org/obo/NCIT_C66731	Terminology codelist used with Sex of Individual within the Clinical Data Interchange Standards Consortium Study Data Tabulation Model.
		Plant sex	http://www.cropontology.org/rdf/CO_343:0000093	Predominat plant or flower sex
		Sex Behavior	http://purl.obolibrary.org/obo/NCIT_C17127	A form of physical intimacy that can be directed to reproduction (one possible goal of sexual intercourse) and/or to enjoying the body of someone else; activities associated with sexual intercourse.
MTBLS385	Age	Age	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150	
		Age	http://purl.obolibrary.org/obo/NCIT_C25150	How long something has existed; elapsed time since birth.
		age	http://purl.obolibrary.org/obo/PATO_0000011	A time quality inhering in a bearer by virtue of how long the bearer has existed.
		age	http://purl.obolibrary.org/obo/FBdv_00007013	Temporal subdivision of life based on time elapsed since some key developmental transition, such as fertilization, hatching or eclosion.
		age	http://www.ebi.ac.uk/efo/EFO_0000246	A temporal measurement of the time period elapsed since an identifiable point in the life cycle of an organism. If a developmental stage is specified, the identifiable point would be the beginning of that stage. Otherwise the identifiable point must be specified such as planting (e.g. 3 days post planting).
		age	http://purl.org/obo/owl/PATO#PATO_0000011	A time quality inhering in a bearer by virtue of how long the bearer has existed.
		age	http://semanticscience.org/resource/SIO_001013	age is the length of time that a person has lived or a thing has existed.
		Age	http://scdontology.h3abionet.org/ontology/SCDO_0000030	How long something has existed; elapsed time since birth.
		Age	http://purl.obolibrary.org/obo/GAZ_00416544	A river. Discharges to the Gulf of Riga.
		age	http://opendata.inra.fr/ATOL/ATOL_0000088	
		N-acylglucosamine 2-epimerase	http://purl.obolibrary.org/obo/PR_000013884	A protein that is a translation product of the human RENBP gene or a 1:1 ortholog thereof.
MTBLS389	Stress	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	
		Stress	http://purl.obolibrary.org/obo/NCIT_C35041	The negative mental, emotional, and physical reactions that occur when environmental stressors are perceived as exceeding the individual's adaptive capacities.
		stress	http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000131	
		Stress	http://www.cropontology.org/rdf/CO_357:Stress	
MTBLS390	sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
MTBLS392	matrix	grape fruit product	http://purl.jp/bio/11/meo/MEO_0002322	
		Matrix	http://purl.obolibrary.org/obo/NCIT_C45805	Ground substance in which things are embedded or that fills a space (e.g., extracellular matrix or nuclear matrix).
		Matrix	http://purl.obolibrary.org/obo/NCIT_C45802	A rectangular array of elements (or entries) set out by rows and columns.
		Matrix	http://edamontology.org/data_2082	
		matrix	http://www.probonto.org/ontology#PROB_c0000016	
		matrix	http://purl.obolibrary.org/obo/CHMO_0002743	
		Matrix Dosing Unit	http://purl.obolibrary.org/obo/NCIT_C149645	A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of matrix.
		MATRix Regimen	http://purl.obolibrary.org/obo/NCIT_C140106	A regimen consisting of high-dose methotrexate, high-dose cytarabine, thiotepa and rituximab that can be used in the treatment of central nervous system (CNS) lymphoma and as a conditioning regimen for autologous stem cell transplantation (ASCT).
MTBLS399	Plant	Plant		
		Plant	http://purl.obolibrary.org/obo/NCIT_C14258	Any living organism that typically synthesizes its food from inorganic substances, possesses cellulose cell walls, responds slowly and often permanently to a stimulus, lacks specialized sense organs and nervous system, and has no powers of locomotion. (EPA Terminology Reference System)
		Plants	http://edamontology.org/topic_0780	
		PtTyp_Et_3to9	http://www.cropontology.org/rdf/CO_331:0000147	
		plant	http://purl.obolibrary.org/obo/BTO_0001481	Any of a kingdom (Plantae) of living things typically lacking locomotive movement or obvious nervous or sensory organs and possessing cellulose cell walls.
		plant	http://purl.obolibrary.org/obo/IDOMAL_6000005	Any of various photosynthetic, eukaryotic, multicellular organisms of the kingdom Plantae characteristically producing embryos, containing chloroplasts, having cellulose cell walls, and lacking the power of locomotion.
		plant	http://www.cropontology.org/rdf/CO_337:0000217	
		plant	http://www.bioassayontology.org/bao#BAO_0000605	They are living organisms which derive their energy from photosynthesis, with the exception of parasitic plants. Plants include herbs, shrubs, trees, grasses, vines, etc.
		Plant	http://www.cropontology.org/rdf/CO_333:0000023	
		plant	http://www.cropontology.org/rdf/CO_325:0100017	
		Plant	http://www.cropontology.org/rdf/CO_327:0000041	
MTBLS399	Location	geographic location		
		Location	http://purl.obolibrary.org/obo/NCIT_C25341	A position, site, or point in space where something can be found.
		location	http://purl.obolibrary.org/obo/ExO_0000017	
		Location	http://www.w3.org/ns/prov#Location	
		Location	http://purl.org/dc/terms/Location	
		location	http://www.w3.org/2003/01/geo/wgs84_pos#location	
		Location	http://rs.tdwg.org/dwc/dwctype/Location	
		location	http://usefulinc.com/ns/doap#location	
		location	http://purl.obolibrary.org/obo/oba/patterns/attribute_location/location	
		location	http://purl.obolibrary.org/obo/oba/patterns/entity_attribute/location	
		location	http://purl.obolibrary.org/obo/oba/patterns/entity_quality/location	
MTBLS400	Metabolic syndrome	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Metabolic Syndrome	http://purl.obolibrary.org/obo/NCIT_C84442	A combination of medical conditions that, when present, increase the risk of heart attack, stroke, and diabetes mellitus. It includes the following medical conditions: increased blood pressure, central obesity, abnormal cholesterol levels, and elevated fasting glucose.
		metabolic syndrome	http://purl.obolibrary.org/obo/MONDO_0004955	
		metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195	A cluster of metabolic risk factors for CARDIOVASCULAR DISEASES and TYPE 2 DIABETES MELLITUS. The major components of metabolic syndrome X include excess ABDOMINAL FAT; atherogenic DYSLIPIDEMIA; HYPERTENSION; HYPERGLYCEMIA; INSULIN RESISTANCE; a proinflammatory state; and a prothrombotic (THROMBOSIS) state. (from AHA/NHLBI/ADA Conference Proceedings, Circulation 2004; 109:551-556)
MTBLS400	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS401	batch	sample batch	http://purl.obolibrary.org/obo/MS_1000053	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
		block	http://www.ebi.ac.uk/efo/EFO_0005067	A block or batch is an experimental unit arrangement into a group which is similar to one another. Typically, a blocking factor is a source of variability that is not of primary interest to the experimenter. An example of a blocking factor might be the sex of a patient; by blocking on sex, this source of variability is controlled for, thus leading to greater accuracy.
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS402	infertility	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Infertility	http://purl.obolibrary.org/obo/HP_0000789	
		Infertility	http://purl.obolibrary.org/obo/NCIT_C3836	Inability to conceive for at least one year after trying and having unprotected sex. Causes of female infertility include endometriosis, fallopian tubes obstruction, and polycystic ovary syndrome. Causes of male infertility include abnormal sperm production or function, blockage of the epididymis, blockage of the ejaculatory ducts, hypospadias, exposure to pesticides, and health related issues.
		infertility	http://purl.obolibrary.org/obo/SYMP_0000712	Infertility is a reproductive system symptom characterized as the biological inability of a man or a woman to contribute to conception or the state of a woman who is unable to carry a pregnancy to full term.
		Infertility	http://scdontology.h3abionet.org/ontology/SCDO_0000639	Inability to produce live offspring
		Infertility	http://purl.obolibrary.org/obo/OMIT_0008373	
		infertility	http://purl.obolibrary.org/obo/DOID_5223	
		infertility	http://www.ebi.ac.uk/efo/EFO_0000545	Inability to reproduce after a specified period of unprotected intercourse. Reproductive sterility is permanent infertility.
		infertility	http://purl.obolibrary.org/obo/MP_0001924	inability to produce live offspring
MTBLS404	BMI	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	
		body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	An indicator of body density as determined by the relationship ofÂ BODY WEIGHT to BODY HEIGHT. BMI=weight (kg)/height squared (m2). BMI correlates with body fat (ADIPOSE TISSUE). Their relationship varies with age and gender. For adults, BMI falls into these categories: below 18.5 (underweight); 18.5-24.9 (normal); 25.0-29.9 (overweight); 30.0 and above (obese). (National Center for Health Statistics, Centers for Disease Control and Prevention)
		Body Mass Index	http://purl.obolibrary.org/obo/NCIT_C16358	A general indicator of the body fat an individual is carrying based upon the ratio of weight to height.
		Body Mass Index Finding	http://purl.obolibrary.org/obo/NCIT_C138901	The result of a body mass index measurement.
MTBLS404	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS404	Material type	material sample	http://purl.obolibrary.org/obo/OBI_0000747	
		material entity	http://www.ifomis.org/bfo/1.1/snap#MaterialEntity	A material entity is an entity that exists in full during the length of time of its existence, persists through this time while maintaining its identity and has no temporal parts. For example a heart, a human, a fly, a microarray.
MTBLS404	Role	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Role	http://purl.obolibrary.org/obo/NCIT_C48835	The usual or expected function of something; the part something plays in an action or event.
		role	http://www.ifomis.org/bfo/1.1/snap#Role	
		role	http://purl.obolibrary.org/obo/BFO_0000023	
		role	http://purl.obolibrary.org/obo/CHEBI_50906	A role is particular behaviour which a material entity may exhibit.
		role	http://purl.obolibrary.org/obo/sep_00010	A role is an attribute that is the activity assigned to or required or expected of an entiy within the context of a particular process.
		role	http://purl.obolibrary.org/obo/snap_Role	A realizable entity [snap:RealizableEntity] the manifestation of which brings about some result or end that is not essential to a continuant [snap:Continuant] in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant [snap:Continuant] in some kinds of natural, social or institutional contexts.
		role	http://purl.obolibrary.org/obo/IDOMAL_0000001	A realizable entity the manifestation of which brings about some result or end that is not essential to a continuant entity in virtue of the kind of thing that it is, but that can be served or participated in by that kind of continuant entity in some kinds of natural, social or institutional contexts.
		Role	http://www.w3.org/ns/prov#Role	
		role	http://semanticscience.org/resource/SIO_000016	A role is a realizable entity that describes behaviours, rights and obligations of an entity in some particular circumstance.
		Role	http://purl.obolibrary.org/obo/OMIT_0013286	
MTBLS404	Sampling	Sampling		
		Sampling	http://purl.obolibrary.org/obo/NCIT_C25662	The selection and obtaining of small representative quantities of biological material for the purpose of analysis; also, in biomedical statistics, sampling is the selection and implementation of statistical observations in order to estimate properties of an underlying population; also, in environmental science, the collection of representative specimens analyzed to characterize site conditions.
		sampling	http://semanticscience.org/resource/SIO_001049	sampling is the act of obtaining a sample, whether through selection, collection or preparation.
		Sampling	http://www.cropontology.org/rdf/CO_357:1000022	Individuals sampling for a specific study
		ECH	http://www.cropontology.org/rdf/CO_357:0000030	
MTBLS404	Osmolality	Osmolality	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89824	
		Osmolality	http://purl.obolibrary.org/obo/NCIT_C89824	The concentration of osmoles of solute per kilogram of solvent present in a sample.
		osmolality	http://purl.obolibrary.org/obo/PATO_0002027	A concentration quality inhering in a bearer by virtue of the bearer's amount of osmoles of solute per kilogram of solvent.
		Osmolality Measurement	http://purl.obolibrary.org/obo/NCIT_C74801	The determination of the osmoles of solute per kilogram of solvent present in a sample.
MTBLS404	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
		block	http://www.ebi.ac.uk/efo/EFO_0005067	A block or batch is an experimental unit arrangement into a group which is similar to one another. Typically, a blocking factor is a source of variability that is not of primary interest to the experimenter. An example of a blocking factor might be the sex of a patient; by blocking on sex, this source of variability is controlled for, thus leading to greater accuracy.
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS404	Subset	Subset		
		Subset	http://www.geneontology.org/formats/oboInOwl#Subset	
		subset	http://edamontology.org#subset	
		subset	http://semanticscience.org/resource/subset	
		subset	http://purl.obolibrary.org/obo/FBcv_0000653	Restricted to unknown subtype(s) of a specified type.
		subset	http://rdfs.org/ns/void#subset	
		subset	http://purl.obolibrary.org/obo/MI_2179	
		Subgroup	http://purl.obolibrary.org/obo/NCIT_C25693	A subdivision of a larger group with members often exhibiting similar characteristics.
MTBLS405	Medium	HeLa medium	http://purl.org/obo/owl/IEV#IEV_0000312	
		Medium	http://purl.obolibrary.org/obo/NCIT_C48164	A substance holding another substance in solution or suspension.
		Medium	http://purl.obolibrary.org/obo/NCIT_C49507	Mid-way between small and large in number, quantity, magnitude or extent.
		medium	http://purl.obolibrary.org/obo/sep_00037	A medium is a substance role which an intervening substance through which something else is transmitted or carried on.
		medium	http://purl.bioontology.org/ontology/npo#NPO_1853	
		Moderately Bothered	http://purl.obolibrary.org/obo/NCIT_C156116	A response indicating that an individual is or was moderately bothered.
		Medium Growth Rate	http://purl.obolibrary.org/obo/NCIT_C124824	An indication that something is growing at an intermediate rate.
		A Medium Amount of Time	http://purl.obolibrary.org/obo/NCIT_C136333	A response indicating that something happens or happened for a medium amount of time.
		A Medium Amount	http://purl.obolibrary.org/obo/NCIT_C136334	A response indicating that something is or was of a moderate amount, intensity, or duration.
		Media	http://purl.obolibrary.org/obo/NCIT_C19442	Any mechanism of mass communication.
MTBLS405	Sample type	material sample	http://purl.obolibrary.org/obo/OBI_0000747	
		Biospecimen Type	http://purl.obolibrary.org/obo/NCIT_C70713	The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.
MTBLS408	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
		block	http://www.ebi.ac.uk/efo/EFO_0005067	A block or batch is an experimental unit arrangement into a group which is similar to one another. Typically, a blocking factor is a source of variability that is not of primary interest to the experimenter. An example of a blocking factor might be the sex of a patient; by blocking on sex, this source of variability is controlled for, thus leading to greater accuracy.
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS409	replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS409	sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
