studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
		Location	http://rs.tdwg.org/dwc/dwctype/Location	
		location	http://usefulinc.com/ns/doap#location	
		location	http://purl.obolibrary.org/obo/oba/patterns/attribute_location/location	
		location	http://purl.obolibrary.org/obo/oba/patterns/entity_attribute/location	
		location	http://purl.obolibrary.org/obo/oba/patterns/entity_quality/location	
		Location	http://purl.obolibrary.org/obo/NCIT_C25341	A position, site, or point in space where something can be found.
MTBLS335	collision energy	collision-induced dissociation	http://purl.obolibrary.org/obo/MS_1000133	
		collision energy	http://purl.obolibrary.org/obo/MS_1000045	Energy for an ion experiencing collision with a stationary gas particle resulting in dissociation of the ion.
MTBLS337	Radiation	dose	http://www.ebi.ac.uk/efo/EFO_0000428	
		radiation	http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000208	
		radiation	http://purl.obolibrary.org/obo/ENVO_01001023	A process during which energy is emitted or transmitted in the form of waves or particles through space or a material medium.
		Radiation	http://purl.obolibrary.org/obo/OMIT_0012758	
MTBLS338	Genotype	genotype	http://purl.obolibrary.org/http///www.ebi.ac.uk/efo/EFO_0000513	
		genotype	http://purl.obolibrary.org/obo/OGI_0000082	collective of allele which comes from different homologus  chromosomes respecitvely.
		genotype	http://semanticscience.org/resource/SIO_001079	A genotype is a functional specification of a biological entity in terms of its genetic composition (or lack thereof).
		genotype	http://purl.obolibrary.org/obo/SO_0001027	
		Genotype	http://purl.obolibrary.org/obo/OMIT_0007033	
		genotype	http://www.ebi.ac.uk/efo/EFO_0000513	The total sum of the genetic information of an organism that is known and relevant to the experiment being performed, including chromosomal, plasmid, viral or other genetic material which has been introduced into the organism either prior to or during the experiment.
		Genotype	http://purl.obolibrary.org/obo/NCIT_C16631	The genetic constitution of an organism or cell, as distinct from its expressed features or phenotype.
		genotype	http://purl.obolibrary.org/obo/GENO_0000536	A specification of the genetic state of an organism, whether complete (defined over the whole genome) or incomplete (defined over a subset of the genome). Genotypes typically describe this genetic state as a diff between some variant component and a canonical reference.
		genotype	http://purl.obolibrary.org/obo/MCO_0000383	
		Genotype	http://ensembl.org/glossary/ENSGLOSSARY_0000117	The specific alleles that are present in an individual's genome. In diploid organisms two alleles make up the genotype (except for the sex chromosomes).
MTBLS338	Replicate	replicate	http://purl.obolibrary.org/http///www.ebi.ac.uk/efo/EFO_0000683	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS341	Replicate	replicate	http://purl.obolibrary.org/http///www.ebi.ac.uk/efo/EFO_0000683	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS341	Treatment	Fungi	http://purl.obolibrary.org/obo/NCBITaxon_4751	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
MTBLS343	cultivar	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		cultivar	http://purl.obolibrary.org/obo/TAXRANK_0000034	
		cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	A cultivated plant variety selected and given a name because it has desirable characteristics that distinguish it from otherwise similar plants of the same species.
MTBLS345	Sex	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		sex	http://purl.obolibrary.org/obo/FBcv_0000332	Qualifier that relates the expression of a phenotype to the sex of the individual.
		Sex	http://purl.obolibrary.org/obo/OMIT_0013619	
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
		SEX	http://www.cropontology.org/rdf/CO_357:0000078	
		sex	http://purl.obolibrary.org/obo/PATO_0000047	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS345	Facility	Place	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25319	
		facility	http://purl.obolibrary.org/obo/OMRSE_00000062	An architectural structure that bears some function.
		Facility	http://purl.obolibrary.org/obo/NCIT_C62574	Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry.
MTBLS345	Food	Food	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62695	
		food	http://purl.obolibrary.org/obo/CHEBI_33290	
		Food	http://purl.obolibrary.org/obo/OMIT_0006708	
		Food	http://purl.obolibrary.org/obo/NCIT_C62695	A group of materials of either plant, animal or artificial origin containing essential body nutrients that can be ingested by an organism to produce energy, stimulate growth, and maintain life.
MTBLS346	Transgene	Transgene	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C22190	
		transgene	http://purl.obolibrary.org/obo/SO_0000902	A transgene is a gene that has been transferred naturally or by any of a number of genetic engineering techniques from one organism to another.
		Transgene	http://purl.obolibrary.org/obo/NCIT_C22190	An engineered gene consisting at least of a regulatory element and a coding sequence; regulatory element and coding sequence can come from different species.
MTBLS349	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Anatomical structure, that consists of similar cells and intercellular matrix, aggregated according to genetically determined spatial relationships.
		tissue	http://purl.obolibrary.org/obo/ExO_0000045	
		tissue	http://purl.obolibrary.org/obo/MA_0003002	
		tissue	http://purl.obolibrary.org/obo/FBcv_0003046	A biosample derived from a multicellular structure comprising similar cells with some specific function, typically isolated by dissection.
		tissue	http://semanticscience.org/resource/SIO_010002	A tissue is a mereologically maximal collection of cells that together perform some function.
		tissue	http://purl.obolibrary.org/obo/XAO_0003040	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organization is at least partly a repetition of their short-range organization.
		Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
		tissue	http://purl.obolibrary.org/obo/CARO_0000043	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
		Tissue	http://purl.obolibrary.org/obo/WBbt_0005729	Association of cells with a common embryological origin or pathway and similar structure and function. Usually, cells of a tissue are contiguous at cell membranes and may be of one or more types. Tissues aggregate to form organs.
		Tissue	http://purl.obolibrary.org/obo/NCIT_C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
MTBLS350	Extract	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		extract	http://purl.obolibrary.org/obo/OBI_0000423	an extract is a material entity which results from an extraction process
		extract	http://www.bioassayontology.org/bao#BAO_0003070	
		Extract	http://purl.obolibrary.org/obo/NCIT_C82948	A solution of essential constituents of a complex material; a substance removed from another substance.
MTBLS350	Replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS352	Group	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		group	http://purl.obolibrary.org/obo/CHEBI_24433	A defined linked collection of atoms or a single atom within a molecular entity.
		group	http://purl.obolibrary.org/obo/sep_00077	A group is a defnined collection of objects, e.g. a flock of sheep, a herd of goats, or the local Boy Scout troop.
		Group	http://purl.obolibrary.org/obo/GAZ_00378987	A river.
		Group	http://purl.obolibrary.org/obo/NCIT_C43359	Any number of entities (members) considered as a unit.
MTBLS355	genotype	genotype design	http://www.ebi.ac.uk/efo/EFO_0001748	
		genotype	http://purl.obolibrary.org/obo/OGI_0000082	collective of allele which comes from different homologus  chromosomes respecitvely.
		genotype	http://semanticscience.org/resource/SIO_001079	A genotype is a functional specification of a biological entity in terms of its genetic composition (or lack thereof).
		genotype	http://purl.obolibrary.org/obo/SO_0001027	
		Genotype	http://purl.obolibrary.org/obo/OMIT_0007033	
		genotype	http://www.ebi.ac.uk/efo/EFO_0000513	The total sum of the genetic information of an organism that is known and relevant to the experiment being performed, including chromosomal, plasmid, viral or other genetic material which has been introduced into the organism either prior to or during the experiment.
		Genotype	http://purl.obolibrary.org/obo/NCIT_C16631	The genetic constitution of an organism or cell, as distinct from its expressed features or phenotype.
		genotype	http://purl.obolibrary.org/obo/GENO_0000536	A specification of the genetic state of an organism, whether complete (defined over the whole genome) or incomplete (defined over a subset of the genome). Genotypes typically describe this genetic state as a diff between some variant component and a canonical reference.
		genotype	http://purl.obolibrary.org/obo/MCO_0000383	
		Genotype	http://ensembl.org/glossary/ENSGLOSSARY_0000117	The specific alleles that are present in an individual's genome. In diploid organisms two alleles make up the genotype (except for the sex chromosomes).
MTBLS355	stimulus	stimulus or stress design	http://www.ebi.ac.uk/efo/EFO_0001762	
		Stimulus	http://purl.obolibrary.org/obo/NCIT_C41210	An environmental event, agent, act, or influence that can be detected by a receptor in the body and will invariably produce a reaction in a living organism, e.g. change in the behavior, functional or trophic reaction.
		stimulus	http://purl.obolibrary.org/obo/MI_2260	
MTBLS358	Study Group	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	
		study group	http://semanticscience.org/resource/SIO_000403	A study group is a group of individuals that are subjects in an observational or intervention study.
		study group	http://purl.obolibrary.org/obo/EUPATH_0000639	a population that is the bearer of a study group role
MTBLS358	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS358	Pack year	Pack Year	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73993	
		Pack Year	http://purl.obolibrary.org/obo/NCIT_C73993	A quantification of lifetime tobacco exposure defined as (number of cigarettes smoked per day x number of years smoked)/20. One pack-year is smoking 20 cigarettes a day for one year.
MTBLS359	treatment	antibacterial agent	http://purl.obolibrary.org/obo/CHEBI_33282	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
MTBLS359	replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS359	time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS363	Elapsed time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		Elapsed Time	http://purl.obolibrary.org/obo/NCIT_C82572	The interval between two reference points in time.
MTBLS363	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS364	smoking status	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796	
		smoking status	http://purl.obolibrary.org/obo/GENEPIO_0001093	
		Smoking Status	http://purl.obolibrary.org/obo/NCIT_C19796	An indication of a person's current tobacco and nicotine consumption as well as some indication of smoking history.
MTBLS364	gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS366	station	Station	http://sweet.jpl.nasa.gov/2.3/matrFacility.owl#Station	
		Station	http://purl.obolibrary.org/obo/NCIT_C67102	A facility or location equipped with special equipment and/or personnel for a particular purpose.
MTBLS366	depth	Depth	http://sweet.jpl.nasa.gov/2.3/propSpaceHeight.owl#Depth	
		depth	http://purl.obolibrary.org/obo/PATO_0001595	A 1-D extent quality inhering in a bearer by virtue of the bearer's downward or backward or inward dimenision.
		depth	http://semanticscience.org/resource/SIO_000039	depth is the dimensional extent into a plane of a 3D projection of the object.
		Depth	http://purl.obolibrary.org/obo/NCIT_C25333	The extent downward or inward; the perpendicular measurement from the surface downward to determine deepness.
MTBLS368	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS368	Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS370	Species	organism	http://purl.obolibrary.org/obo/OBI_0100026	
		species	http://purl.obolibrary.org/obo/TAXRANK_0000006	
		Species	http://purl.obolibrary.org/obo/SIBO_0000477	
		species	http://purl.obolibrary.org/obo/NCBITaxon_species	
		Species	http://purl.obolibrary.org/obo/NCIT_C45293	A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.
MTBLS370	Extract	Extraction		
		extract	http://purl.obolibrary.org/obo/OBI_0000423	an extract is a material entity which results from an extraction process
		extract	http://www.bioassayontology.org/bao#BAO_0003070	
		Extract	http://purl.obolibrary.org/obo/NCIT_C82948	A solution of essential constituents of a complex material; a substance removed from another substance.
MTBLS373	extract	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		extract	http://purl.obolibrary.org/obo/OBI_0000423	an extract is a material entity which results from an extraction process
		extract	http://www.bioassayontology.org/bao#BAO_0003070	
		Extract	http://purl.obolibrary.org/obo/NCIT_C82948	A solution of essential constituents of a complex material; a substance removed from another substance.
MTBLS373	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS374	smoking status	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796	
		smoking status	http://purl.obolibrary.org/obo/GENEPIO_0001093	
		Smoking Status	http://purl.obolibrary.org/obo/NCIT_C19796	An indication of a person's current tobacco and nicotine consumption as well as some indication of smoking history.
MTBLS374	gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS376	Antibiotic treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	
		antibiotic treatment	http://purl.obolibrary.org/obo/EO_0007041	A chemical treatment (EO:0007189) involving the use of antibiotic for selection purposes.
		antibiotic treatment	http://purl.obolibrary.org/obo/NCRO_0000230	
MTBLS380	sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
MTBLS382	sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
MTBLS383	Species	Species	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45293	
		species	http://purl.obolibrary.org/obo/TAXRANK_0000006	
		Species	http://purl.obolibrary.org/obo/SIBO_0000477	
		species	http://purl.obolibrary.org/obo/NCBITaxon_species	
		Species	http://purl.obolibrary.org/obo/NCIT_C45293	A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.
MTBLS384	Experiment	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		experiment	http://semanticscience.org/resource/SIO_000994	An experiment is an investigation that has the goal of verifying, falsifying, or establishing the validity of a hypothesis. 
		experiment	http://purl.obolibrary.org/obo/AGRO_00000369	A planned process in which a procedure is carried out to support, refute, or validate a hypothesis.
		Experiment	http://purl.obolibrary.org/obo/NCIT_C42790	A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.
MTBLS385	Patient	Patient	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16960	
		patient	http://purl.obolibrary.org/obo/IDOMAL_0000603	A person under health care. The person may be waiting for this care or may be receiving it or may have already received it.
		patient	http://purl.obolibrary.org/obo/AERO_0000270	
		patient	http://semanticscience.org/resource/SIO_000393	A patient is an individual that is the recepient of medical care.
		Patient	http://purl.obolibrary.org/obo/NCIT_C16960	A person who receives medical attention, care, or treatment, or who is registered with medical professional or institution with the purpose to receive medical care when necessary.
		patient	http://purl.obolibrary.org/obo/OAE_0001817	an organism that has the role of 'patient role'.
MTBLS385	Sex	Sex	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28421	
		sex	http://purl.obolibrary.org/obo/FBcv_0000332	Qualifier that relates the expression of a phenotype to the sex of the individual.
		Sex	http://purl.obolibrary.org/obo/OMIT_0013619	
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
		SEX	http://www.cropontology.org/rdf/CO_357:0000078	
		sex	http://purl.obolibrary.org/obo/PATO_0000047	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS385	Age	Age	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150	
		age	http://purl.obolibrary.org/obo/PATO_0000011	A time quality inhering in a bearer by virtue of how long the bearer has existed.
		age	http://purl.obolibrary.org/obo/FBdv_00007013	Temporal subdivision of life based on time elapsed since some key developmental transition, such as fertilization, hatching or eclosion.
		age	http://www.ebi.ac.uk/efo/EFO_0000246	A temporal measurement of the time period elapsed since an identifiable point in the life cycle of an organism. If a developmental stage is specified, the identifiable point would be the beginning of that stage. Otherwise the identifiable point must be specified such as planting (e.g. 3 days post planting).
		age	http://purl.org/obo/owl/PATO#PATO_0000011	A time quality inhering in a bearer by virtue of how long the bearer has existed.
		age	http://semanticscience.org/resource/SIO_001013	age is the length of time that a person has lived or a thing has existed.
		Age	http://scdontology.h3abionet.org/ontology/SCDO_0000030	How long something has existed; elapsed time since birth.
		Age	http://purl.obolibrary.org/obo/GAZ_00416544	A river. Discharges to the Gulf of Riga.
		age	http://opendata.inra.fr/ATOL/ATOL_0000088	
		Age	http://purl.obolibrary.org/obo/NCIT_C25150	How long something has existed; elapsed time since birth.
MTBLS389	Stress	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	
		stress	http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000131	
		Stress	http://purl.obolibrary.org/obo/NCIT_C35041	The negative mental, emotional, and physical reactions that occur when environmental stressors are perceived as exceeding the individual's adaptive capacities.
		Stress	http://www.cropontology.org/rdf/CO_357:Stress	
MTBLS390	sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
MTBLS392	matrix	grape fruit product	http://purl.jp/bio/11/meo/MEO_0002322	
		Matrix	http://edamontology.org/data_2082	
		matrix	http://www.probonto.org/ontology#PROB_c0000016	
		matrix	http://purl.obolibrary.org/obo/CHMO_0002743	
		Matrix	http://purl.obolibrary.org/obo/NCIT_C45805	Ground substance in which things are embedded or that fills a space (e.g., extracellular matrix or nuclear matrix).
		Matrix	http://purl.obolibrary.org/obo/NCIT_C45802	A rectangular array of elements (or entries) set out by rows and columns.
MTBLS399	Plant	Plant		
		plant	http://purl.obolibrary.org/obo/BTO_0001481	Any of a kingdom (Plantae) of living things typically lacking locomotive movement or obvious nervous or sensory organs and possessing cellulose cell walls.
		plant	http://purl.obolibrary.org/obo/IDOMAL_6000005	Any of various photosynthetic, eukaryotic, multicellular organisms of the kingdom Plantae characteristically producing embryos, containing chloroplasts, having cellulose cell walls, and lacking the power of locomotion.
		plant	http://www.cropontology.org/rdf/CO_337:0000217	
		plant	http://www.bioassayontology.org/bao#BAO_0000605	They are living organisms which derive their energy from photosynthesis, with the exception of parasitic plants. Plants include herbs, shrubs, trees, grasses, vines, etc.
		Plant	http://purl.obolibrary.org/obo/NCIT_C14258	Any living organism that typically synthesizes its food from inorganic substances, possesses cellulose cell walls, responds slowly and often permanently to a stimulus, lacks specialized sense organs and nervous system, and has no powers of locomotion. (EPA Terminology Reference System)
		Plant	http://www.cropontology.org/rdf/CO_333:0000023	
		plant	http://www.cropontology.org/rdf/CO_325:0100017	
		Plant	http://www.cropontology.org/rdf/CO_327:0000041	
		Plant	http://www.cropontology.org/rdf/CO_334:0100490	
		plant	http://purl.obolibrary.org/obo/FOODON_03411347	Multicellular plants.
MTBLS399	Location	geographic location		
		location	http://purl.obolibrary.org/obo/ExO_0000017	
		Location	http://www.w3.org/ns/prov#Location	
		Location	http://purl.org/dc/terms/Location	
		location	http://www.w3.org/2003/01/geo/wgs84_pos#location	
		Location	http://rs.tdwg.org/dwc/dwctype/Location	
		location	http://usefulinc.com/ns/doap#location	
		location	http://purl.obolibrary.org/obo/oba/patterns/attribute_location/location	
		location	http://purl.obolibrary.org/obo/oba/patterns/entity_attribute/location	
		location	http://purl.obolibrary.org/obo/oba/patterns/entity_quality/location	
		Location	http://purl.obolibrary.org/obo/NCIT_C25341	A position, site, or point in space where something can be found.
MTBLS400	Metabolic syndrome	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		metabolic syndrome	http://purl.obolibrary.org/obo/MONDO_0004955	
		Metabolic Syndrome	http://purl.obolibrary.org/obo/NCIT_C84442	A combination of medical conditions that, when present, increase the risk of heart attack, stroke, and diabetes mellitus. It includes the following medical conditions: increased blood pressure, central obesity, abnormal cholesterol levels, and elevated fasting glucose.
		metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195	A cluster of metabolic risk factors for CARDIOVASCULAR DISEASES and TYPE 2 DIABETES MELLITUS. The major components of metabolic syndrome X include excess ABDOMINAL FAT; atherogenic DYSLIPIDEMIA; HYPERTENSION; HYPERGLYCEMIA; INSULIN RESISTANCE; a proinflammatory state; and a prothrombotic (THROMBOSIS) state. (from AHA/NHLBI/ADA Conference Proceedings, Circulation 2004; 109:551-556)
MTBLS400	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS401	batch	sample batch	http://purl.obolibrary.org/obo/MS_1000053	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
MTBLS402	infertility	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		infertility	http://purl.obolibrary.org/obo/SYMP_0000712	Infertility is a reproductive system symptom characterized as the biological inability of a man or a woman to contribute to conception or the state of a woman who is unable to carry a pregnancy to full term.
		Infertility	http://scdontology.h3abionet.org/ontology/SCDO_0000639	Inability to produce live offspring
		Infertility	http://purl.obolibrary.org/obo/OMIT_0008373	
		infertility	http://purl.obolibrary.org/obo/DOID_5223	
		Infertility	http://purl.obolibrary.org/obo/NCIT_C3836	Inability to conceive for at least one year after trying and having unprotected sex. Causes of female infertility include endometriosis, fallopian tubes obstruction, and polycystic ovary syndrome. Causes of male infertility include abnormal sperm production or function, blockage of the epididymis, blockage of the ejaculatory ducts, hypospadias, exposure to pesticides, and health related issues.
		Infertility	http://purl.obolibrary.org/obo/HP_0000789	
		infertility	http://www.ebi.ac.uk/efo/EFO_0000545	Inability to reproduce after a specified period of unprotected intercourse. Reproductive sterility is permanent infertility.
		infertility	http://purl.obolibrary.org/obo/MP_0001924	inability to produce live offspring
MTBLS404	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS404	Role	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		role	http://www.ifomis.org/bfo/1.1/snap#Role	
		role	http://purl.obolibrary.org/obo/BFO_0000023	
		role	http://purl.obolibrary.org/obo/CHEBI_50906	A role is particular behaviour which a material entity may exhibit.
		role	http://purl.obolibrary.org/obo/sep_00010	A role is an attribute that is the activity assigned to or required or expected of an entiy within the context of a particular process.
