STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	ANNOTATOR	ANNOTATION_DATE
study_402	metabo_402	factor	Populus tremula x Populus alba	http://purl.obolibrary.org/obo/NCBITaxon_80863	Jiakang Chang	28/09/2018 12:00
study_403	metabo_403	factor	Populus tremula x Populus tremuloides	http://purl.obolibrary.org/obo/NCBITaxon_47664	Zoe May Pendlington	01/10/2018 12:00
study_404	metabo_404	factor	Populus tremuloides	http://purl.obolibrary.org/obo/NCBITaxon_3693	Zoe May Pendlington	01/10/2018 12:00
study_405	metabo_405	factor	Porites	http://purl.obolibrary.org/obo/NCBITaxon_46719	Jiakang Chang	28/09/2018 12:00
study_406	metabo_406	factor	Porites compressa	http://purl.obolibrary.org/obo/NCBITaxon_46720	Jiakang Chang	28/09/2018 12:00
study_407	metabo_407	factor	Porites lobata	http://purl.obolibrary.org/obo/NCBITaxon_104759	Jiakang Chang	28/09/2018 12:00
study_408	metabo_408	factor	Porites rus	http://purl.obolibrary.org/obo/NCBITaxon_262591	Jiakang Chang	28/09/2018 12:00
study_409	metabo_409	factor	Potentilla erecta	http://purl.obolibrary.org/obo/NCBITaxon_57940	Jiakang Chang	28/09/2018 12:00
study_410	metabo_410	factor	pre-B-lymphocyte	http://purl.obolibrary.org/obo/BTO_0001133	Jiakang Chang	28/09/2018 12:00
study_411	metabo_411	factor	primary root	http://purl.obolibrary.org/obo/PO_0020127	Zoe May Pendlington	01/10/2018 12:00
study_412	metabo_412	factor	Pristionchus pacificus	http://purl.obolibrary.org/obo/NCBITaxon_54126	Zoe May Pendlington	01/10/2018 12:00
study_413	metabo_413	factor	Prochlorococcus	http://purl.obolibrary.org/obo/NCBITaxon_1218	Jiakang Chang	28/09/2018 12:00
study_414	metabo_414	factor	Prunus padus	http://purl.obolibrary.org/obo/NCBITaxon_97307	Jiakang Chang	28/09/2018 12:00
study_415	metabo_415	factor	Pseudo-nitzschia arenysensis CM63	http://purl.obolibrary.org/obo/NCBITaxon_697910	Jiakang Chang	28/09/2018 12:00
study_416	metabo_416	factor	Pseudo-nitzschia multistriata PmF3.7	http://purl.obolibrary.org/obo/NCBITaxon_697910	Jiakang Chang	28/09/2018 12:00
study_417	metabo_417	factor	Pseudomonas	http://purl.obolibrary.org/obo/NCBITaxon_286	Zoe May Pendlington	01/10/2018 12:00
study_418	metabo_418	factor	Pseudomonas aeruginosa	http://purl.obolibrary.org/obo/NCBITaxon_287	Zoe May Pendlington	01/10/2018 12:00
study_419	metabo_419	factor	Pseudomonas fluorescens	http://purl.obolibrary.org/obo/NCBITaxon_294	Zoe May Pendlington	01/10/2018 12:00
study_420	metabo_420	factor	Pseudomonas putida	http://purl.obolibrary.org/obo/NCBITaxon_303	Zoe May Pendlington	01/10/2018 12:00
study_421	metabo_421	factor	Pseudomonas syringae	http://purl.obolibrary.org/obo/NCBITaxon_317	Jiakang Chang	28/09/2018 12:00
study_422	metabo_422	factor	Pseudostellaria heterophylla	http://purl.obolibrary.org/obo/NCBITaxon_418402	Jiakang Chang	28/09/2018 12:00
study_423	metabo_423	factor	pure substance	http://purl.obolibrary.org/obo/CHEBI_60003	Jiakang Chang	28/09/2018 12:00
study_424	metabo_424	factor	Rabbit	http://purl.obolibrary.org/obo/NCBITaxon_9986	Zoe May Pendlington	01/10/2018 12:00
study_425	metabo_425	factor	Ranunculus acris	http://purl.obolibrary.org/obo/NCBITaxon_3447	Jiakang Chang	28/09/2018 12:00
study_426	metabo_426	factor	Rattus	http://purl.obolibrary.org/obo/NCBITaxon_10114	Zoe May Pendlington	01/10/2018 12:00
study_427	metabo_427	factor	Rattus andamanensis	http://purl.obolibrary.org/obo/NCBITaxon_69077	Jiakang Chang	28/09/2018 12:00
study_428	metabo_428	factor	Rattus norvegicus	http://purl.obolibrary.org/obo/NCBITaxon_10116	Zoe May Pendlington	01/10/2018 12:00
study_429	metabo_429	factor	Rattus rattus	http://purl.obolibrary.org/obo/NCBITaxon_10117	Zoe May Pendlington	01/10/2018 12:00
study_430	metabo_430	factor	RAW-264.7 cell	http://purl.obolibrary.org/obo/BTO_0003292	Jiakang Chang	28/09/2018 12:00
study_431	metabo_431	factor	Recombinant Protein	http://purl.obolibrary.org/obo/NCIT_C17081	Jiakang Chang	28/09/2018 12:00
study_432	metabo_432	factor	Reference	http://www.ebi.ac.uk/efo/EFO_0001461	Zoe May Pendlington	01/10/2018 12:00
study_433	metabo_433	factor	Reference compound	http://www.bioassayontology.org/bao#BAO_0002092	Jiakang Chang	28/09/2018 12:00
study_434	metabo_434	factor	renal epithelial cell	http://purl.obolibrary.org/obo/BTO_0005545	Jiakang Chang	28/09/2018 12:00
study_435	metabo_435	factor	renal proximal tubule	http://purl.obolibrary.org/obo/BTO_0001498	Jiakang Chang	28/09/2018 12:00
study_436	metabo_436	factor	renal tubule	http://purl.obolibrary.org/obo/UBERON_0001231	Zoe May Pendlington	01/10/2018 12:00
study_437	metabo_437	factor	Rhamnus cathartica	http://purl.obolibrary.org/obo/NCBITaxon_3610	Jiakang Chang	28/09/2018 12:00
study_438	metabo_438	factor	Rhodiola rosea	http://purl.obolibrary.org/obo/NCBITaxon_203015	Jiakang Chang	28/09/2018 12:00
study_439	metabo_439	factor	Rhopalosiphum padi	http://purl.obolibrary.org/obo/NCBITaxon_40932	Jiakang Chang	28/09/2018 12:00
study_440	metabo_440	factor	Rhytidiadelphus squarrosus	http://purl.obolibrary.org/obo/NCBITaxon_53008	Jiakang Chang	28/09/2018 12:00
study_441	metabo_441	factor	right ventricle	http://purl.obolibrary.org/obo/UBERON_0002080	Zoe May Pendlington	01/10/2018 12:00
study_442	metabo_442	factor	root	http://www.ebi.ac.uk/efo/EFO_0000989	Zoe May Pendlington	01/10/2018 12:00
study_443	metabo_443	factor	Rosa majalis	http://purl.obolibrary.org/obo/NCBITaxon_57935	Jiakang Chang	28/09/2018 12:00
study_444	metabo_444	factor	Roseiflexus	http://purl.obolibrary.org/obo/NCBITaxon_120961	Jiakang Chang	28/09/2018 12:00
study_445	metabo_445	factor	Roseiflexus spp.	http://purl.obolibrary.org/obo/NCBITaxon_120961	Jiakang Chang	28/09/2018 12:00
study_446	metabo_446	factor	rosette	http://purl.obolibrary.org/obo/PO_0025615	Zoe May Pendlington	01/10/2018 12:00
study_447	metabo_447	factor	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	Zoe May Pendlington	01/10/2018 12:00
study_448	metabo_448	factor	Rubus idaeus	http://purl.obolibrary.org/obo/NCBITaxon_32247	Zoe May Pendlington	01/10/2018 12:00
study_449	metabo_449	factor	Ruegeria pomeroyi	http://purl.obolibrary.org/obo/NCBITaxon_89184	Zoe May Pendlington	01/10/2018 12:00
study_450	metabo_450	factor	Saccharomyces cerevisiae	http://purl.obolibrary.org/obo/NCBITaxon_4932	Zoe May Pendlington	01/10/2018 12:00
study_451	metabo_451	factor	Sake	http://purl.obolibrary.org/obo/NCIT_C66825	Jiakang Chang	28/09/2018 12:00
study_452	metabo_452	factor	saliva	http://purl.obolibrary.org/obo/BTO_0001202	Zoe May Pendlington	01/10/2018 12:00
study_453	metabo_453	factor	Salmonella enterica	http://purl.obolibrary.org/obo/NCBITaxon_28901	Jiakang Chang	28/09/2018 12:00
study_454	metabo_454	factor	Salvia officinalis	http://purl.obolibrary.org/obo/NCBITaxon_38868	Jiakang Chang	28/09/2018 12:00
study_455	metabo_455	factor	Sambucus nigra	http://purl.obolibrary.org/obo/NCBITaxon_4202	Jiakang Chang	28/09/2018 12:00
study_456	metabo_456	factor	Schizosaccharomyces pombe	http://purl.obolibrary.org/obo/NCBITaxon_4896	Zoe May Pendlington	01/10/2018 12:00
study_457	metabo_457	factor	Schizosaccharomyces pombe 972h-	http://purl.obolibrary.org/obo/NCBITaxon_284812	Zoe May Pendlington	01/10/2018 12:00
study_458	metabo_458	factor	sea water	http://purl.obolibrary.org/obo/CHEBI_15377	Zoe May Pendlington	01/10/2018 12:00
study_459	metabo_459	factor	seed	http://www.ebi.ac.uk/efo/EFO_0000991	Zoe May Pendlington	01/10/2018 12:00
study_460	metabo_460	factor	seedling	http://purl.obolibrary.org/obo/PO_0007131	Zoe May Pendlington	01/10/2018 12:00
study_461	metabo_461	factor	semen	http://purl.obolibrary.org/obo/CL_0000019	Zoe May Pendlington	01/10/2018 12:00
study_462	metabo_462	factor	seminal plasma	http://purl.obolibrary.org/obo/BTO_0001232	Jiakang Chang	28/09/2018 12:00
study_463	metabo_463	factor	Seminavis robusta 85A	http://purl.obolibrary.org/obo/NCBITaxon_568900	Jiakang Chang	28/09/2018 12:00
study_464	metabo_464	factor	Seminavis robusta 85A noSex	http://purl.obolibrary.org/obo/NCBITaxon_568900	Jiakang Chang	28/09/2018 12:00
study_465	metabo_465	factor	Seminavis robusta 85A Sex	http://purl.obolibrary.org/obo/NCBITaxon_568900	Jiakang Chang	28/09/2018 12:00
study_466	metabo_466	factor	Seminavis robusta 85B	http://purl.obolibrary.org/obo/NCBITaxon_568900	Jiakang Chang	28/09/2018 12:00
study_467	metabo_467	factor	Seminavis robusta 85B noSex	http://purl.obolibrary.org/obo/NCBITaxon_568900	Jiakang Chang	28/09/2018 12:00
study_468	metabo_468	factor	Seminavis robusta 85B Sex	http://purl.obolibrary.org/obo/NCBITaxon_568900	Jiakang Chang	28/09/2018 12:00
study_469	metabo_469	factor	Senna alexandrina	http://purl.obolibrary.org/obo/NCBITaxon_72402	Jiakang Chang	28/09/2018 12:00
study_470	metabo_470	factor	Seriatopora hystrix	http://purl.obolibrary.org/obo/NCBITaxon_51070	Jiakang Chang	28/09/2018 12:00
study_471	metabo_471	factor	Serum	http://purl.obolibrary.org/obo/BTO_0000133	Zoe May Pendlington	01/10/2018 12:00
study_472	metabo_472	factor	SH-SY5Y cell	http://www.ebi.ac.uk/efo/EFO_0002717	Zoe May Pendlington	01/10/2018 12:00
study_473	metabo_473	factor	shoot system	http://purl.obolibrary.org/obo/PO_0009006	Zoe May Pendlington	01/10/2018 12:00
study_474	metabo_474	factor	Silybum marianum	http://purl.obolibrary.org/obo/NCBITaxon_92921	Jiakang Chang	28/09/2018 12:00
study_475	metabo_475	factor	Simulation experiment	http://edamontology.org/topic_3524	Jiakang Chang	28/09/2018 12:00
study_476	metabo_476	factor	Sinorhizobium meliloti	http://purl.obolibrary.org/obo/NCBITaxon_382	Zoe May Pendlington	01/10/2018 12:00
study_477	metabo_477	factor	SK-N-AS cell	http://www.ebi.ac.uk/efo/EFO_0002859	Zoe May Pendlington	01/10/2018 12:00
study_478	metabo_478	factor	SK-N-BE(2) cell	http://purl.obolibrary.org/obo/BTO_0002696	Jiakang Chang	28/09/2018 12:00
study_479	metabo_479	factor	skeletal muscle	http://purl.obolibrary.org/obo/UBERON_0001134	Zoe May Pendlington	01/10/2018 12:00
study_480	metabo_480	factor	skeletal muscle organ	http://purl.obolibrary.org/obo/UBERON_0014892	Zoe May Pendlington	01/10/2018 12:00
study_481	metabo_481	factor	Skeletonema marinoi	http://purl.obolibrary.org/obo/NCBITaxon_267567	Jiakang Chang	28/09/2018 12:00
study_482	metabo_482	factor	skin fibroblast cell line	http://www.ebi.ac.uk/efo/EFO_0002009	Zoe May Pendlington	01/10/2018 12:00
study_483	metabo_483	factor	soil biocrust	http://purl.obolibrary.org/obo/ENVO_01000910	Jiakang Chang	28/09/2018 12:00
study_484	metabo_484	factor	Solanum habrochaites	http://purl.obolibrary.org/obo/NCBITaxon_62890	Jiakang Chang	28/09/2018 12:00
study_485	metabo_485	factor	Solanum lycopersicum	http://purl.obolibrary.org/obo/NCBITaxon_4081	Zoe May Pendlington	01/10/2018 12:00
study_486	metabo_486	factor	Solanum lycopersicum x Solanum pennellii	http://purl.obolibrary.org/obo/NCBITaxon_872925	Jiakang Chang	28/09/2018 12:00
study_487	metabo_487	factor	solvent	http://purl.obolibrary.org/obo/NCIT_C45790	Jiakang Chang	28/09/2018 12:00
study_488	metabo_488	factor	Sorghum bicolor	http://purl.obolibrary.org/obo/NCBITaxon_4558	Zoe May Pendlington	01/10/2018 12:00
study_489	metabo_489	factor	soybean	http://purl.obolibrary.org/obo/NCIT_C72010	Jiakang Chang	28/09/2018 12:00
study_490	metabo_490	factor	spermatophore/nuptial gift	http://purl.obolibrary.org/obo/CEPH_0000237	Jiakang Chang	28/09/2018 12:00
study_491	metabo_491	factor	Spheciospongia vesparium	http://purl.obolibrary.org/obo/NCBITaxon_295237	Jiakang Chang	28/09/2018 12:00
study_492	metabo_492	factor	spike	http://purl.obolibrary.org/obo/BTO_0001278	Jiakang Chang	28/09/2018 12:00
study_493	metabo_493	factor	Spleen	http://purl.obolibrary.org/obo/UBERON_0002106	Zoe May Pendlington	01/10/2018 12:00
study_494	metabo_494	factor	Stalk	http://purl.obolibrary.org/obo/NCIT_C62353	Jiakang Chang	28/09/2018 12:00
study_495	metabo_495	factor	Standard	http://purl.obolibrary.org/obo/NCIT_C44275	Jiakang Chang	28/09/2018 12:00
study_496	metabo_496	factor	standard mixture	http://purl.obolibrary.org/obo/CHEBI_60004	Jiakang Chang	28/09/2018 12:00
study_497	metabo_497	factor	Staphylococcus aureus	http://purl.obolibrary.org/obo/NCBITaxon_1280	Zoe May Pendlington	01/10/2018 12:00
study_498	metabo_498	factor	stationary phase culture	http://purl.obolibrary.org/obo/BTO_0001899	Zoe May Pendlington	01/10/2018 12:00
study_499	metabo_499	factor	steam	http://purl.obolibrary.org/obo/OMIT_0014104	Jiakang Chang	28/09/2018 12:00
study_500	metabo_500	factor	stem	http://purl.obolibrary.org/obo/PO_0009047	Zoe May Pendlington	01/10/2018 12:00
study_501	metabo_501	factor	stem internode	http://purl.obolibrary.org/obo/PO_0020142	Zoe May Pendlington	01/10/2018 12:00
study_502	metabo_502	factor	stigma	http://purl.obolibrary.org/obo/PO_0009073	Zoe May Pendlington	01/10/2018 12:00
study_503	metabo_503	factor	Streptomyces coelicolor	http://purl.obolibrary.org/obo/NCBITaxon_1902	Zoe May Pendlington	01/10/2018 12:00
study_504	metabo_504	factor	Streptomyces viridochromogenes	http://purl.obolibrary.org/obo/NCBITaxon_1938	Jiakang Chang	28/09/2018 12:00
study_505	metabo_505	factor	study reference pool	http://purl.obolibrary.org/obo/NCIT_C93452	Jiakang Chang	28/09/2018 12:00
study_506	metabo_506	factor	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/UBERON_0002190	Zoe May Pendlington	01/10/2018 12:00
study_507	metabo_507	factor	Sulfolobus acidocaldarius	http://purl.obolibrary.org/obo/NCBITaxon_2285	Zoe May Pendlington	01/10/2018 12:00
study_508	metabo_508	factor	Suricata suricatta	http://purl.obolibrary.org/obo/VTO_0010852	Jiakang Chang	28/09/2018 12:00
study_509	metabo_509	factor	Sus scrofa	http://purl.obolibrary.org/obo/NCBITaxon_9823	Zoe May Pendlington	01/10/2018 12:00
study_510	metabo_510	factor	Sus scrofa domesticus	http://purl.obolibrary.org/obo/NCBITaxon_9823	Zoe May Pendlington	01/10/2018 12:00
study_511	metabo_511	factor	Symbiodinium sp. ex Acropora aspera	http://purl.obolibrary.org/obo/NCBITaxon_280471	Jiakang Chang	28/09/2018 12:00
study_512	metabo_512	factor	Synechococcus elongatus	http://purl.obolibrary.org/obo/NCBITaxon_32046	Zoe May Pendlington	01/10/2018 12:00
study_513	metabo_513	factor	Synechococcus sp.	http://purl.obolibrary.org/obo/NCBITaxon_1131	Jiakang Chang	28/09/2018 12:00
study_514	metabo_514	factor	Synechococcus spp.	http://purl.obolibrary.org/obo/NCBITaxon_1131	Jiakang Chang	28/09/2018 12:00
study_515	metabo_515	factor	Synechocystis sp. PCC 6803	http://purl.obolibrary.org/obo/NCBITaxon_1148	Zoe May Pendlington	01/10/2018 12:00
study_516	metabo_516	factor	synovia	http://purl.obolibrary.org/obo/BTO_0001339	Jiakang Chang	28/09/2018 12:00
study_517	metabo_517	factor	Synthetic	http://purl.obolibrary.org/obo/MI_0794	Jiakang Chang	28/09/2018 12:00
study_518	metabo_518	factor	Tanacetum vulgare	http://purl.obolibrary.org/obo/NCIT_C72449	Jiakang Chang	28/09/2018 12:00
study_519	metabo_519	factor	Taraxacum officinale	http://purl.obolibrary.org/obo/NCBITaxon_50225	Zoe May Pendlington	01/10/2018 12:00
study_520	metabo_520	factor	testis	http://purl.obolibrary.org/obo/UBERON_0000473	Zoe May Pendlington	01/10/2018 12:00
study_521	metabo_521	factor	Thalassiosira pseudonana	http://purl.obolibrary.org/obo/NCBITaxon_35128	Zoe May Pendlington	01/10/2018 12:00
study_522	metabo_522	factor	thorax	http://purl.obolibrary.org/obo/UBERON_0000915	Zoe May Pendlington	01/10/2018 12:00
study_523	metabo_523	factor	THP-1 cell	http://www.ebi.ac.uk/efo/EFO_0001253	Zoe May Pendlington	01/10/2018 12:00
study_524	metabo_524	factor	Thymus serpyllum	http://purl.obolibrary.org/obo/NCBITaxon_204219	Jiakang Chang	28/09/2018 12:00
study_525	metabo_525	factor	Tilia cordata	http://purl.obolibrary.org/obo/NCBITaxon_172266	Jiakang Chang	28/09/2018 12:00
study_526	metabo_526	factor	Tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Jiakang Chang	28/09/2018 12:00
study_527	metabo_527	factor	Triticum aestivum	http://purl.obolibrary.org/obo/NCBITaxon_4565	Zoe May Pendlington	01/10/2018 12:00
study_528	metabo_528	factor	Trypanosoma brucei	http://purl.obolibrary.org/obo/NCBITaxon_5691	Zoe May Pendlington	01/10/2018 12:00
study_529	metabo_529	factor	Trypanosoma brucei brucei	http://purl.obolibrary.org/obo/NCBITaxon_5702	Zoe May Pendlington	01/10/2018 12:00
study_530	metabo_530	factor	Tussilago farfara	http://purl.obolibrary.org/obo/NCBITaxon_118778	Jiakang Chang	28/09/2018 12:00
study_531	metabo_531	factor	twig	http://purl.obolibrary.org/obo/NCIT_C79682	Jiakang Chang	28/09/2018 12:00
study_532	metabo_532	factor	U2-OS cell	http://www.ebi.ac.uk/efo/EFO_0002869	Zoe May Pendlington	01/10/2018 12:00
study_533	metabo_533	factor	U2-OS cell	http://purl.obolibrary.org/obo/BTO_0001938	Jiakang Chang	28/09/2018 12:00
study_534	metabo_534	factor	unclassified Cyanobacteria	http://purl.obolibrary.org/obo/NCBITaxon_34079	Jiakang Chang	28/09/2018 12:00
study_535	metabo_535	factor	urinary metabolite measurement	http://www.ebi.ac.uk/efo/EFO_0005116	Zoe May Pendlington	01/10/2018 12:00
study_536	metabo_536	factor	Urine	http://purl.obolibrary.org/obo/UBERON_0001088	Zoe May Pendlington	01/10/2018 12:00
study_537	metabo_537	factor	Urtica dioica	http://purl.obolibrary.org/obo/NCBITaxon_3501	Jiakang Chang	28/09/2018 12:00
study_538	metabo_538	factor	Vaccinium myrtillus	http://purl.obolibrary.org/obo/NCBITaxon_180763	Jiakang Chang	28/09/2018 12:00
study_539	metabo_539	factor	Valeriana officinalis	http://purl.obolibrary.org/obo/NCBITaxon_19953	Jiakang Chang	28/09/2018 12:00
study_540	metabo_540	factor	vegetative shoot system	http://purl.obolibrary.org/obo/PO_0009006	Zoe May Pendlington	01/10/2018 12:00
study_541	metabo_541	factor	vegetative shoot system	http://purl.obolibrary.org/obo/PO_0025607	Jiakang Chang	28/09/2018 12:00
study_542	metabo_542	factor	Vero cells (kidney epithelial)	http://purl.obolibrary.org/obo/CLO_0009524	Jiakang Chang	28/09/2018 12:00
study_543	metabo_543	factor	Viburnum opulus	http://purl.obolibrary.org/obo/NCBITaxon_85293	Jiakang Chang	28/09/2018 12:00
study_544	metabo_544	factor	Viola tricolor	http://purl.obolibrary.org/obo/NCBITaxon_214053	Jiakang Chang	28/09/2018 12:00
study_545	metabo_545	factor	Vitis	http://purl.obolibrary.org/obo/NCBITaxon_3603	Jiakang Chang	28/09/2018 12:00
study_546	metabo_546	factor	Vitis vinifera	http://purl.obolibrary.org/obo/NCBITaxon_29760	Zoe May Pendlington	01/10/2018 12:00
study_547	metabo_547	factor	water	http://purl.obolibrary.org/obo/CHEBI_15377	Zoe May Pendlington	01/10/2018 12:00
study_548	metabo_548	factor	wax ester	http://purl.obolibrary.org/obo/CHEBI_10036	Jiakang Chang	28/09/2018 12:00
study_549	metabo_549	factor	white adipose tissue	http://purl.obolibrary.org/obo/UBERON_0001347	Zoe May Pendlington	01/10/2018 12:00
study_550	metabo_550	factor	whole	http://purl.obolibrary.org/obo/NCIT_C25326	Jiakang Chang	28/09/2018 12:00
study_551	metabo_551	factor	Whole body	http://purl.obolibrary.org/obo/BTO_0001489	Jiakang Chang	28/09/2018 12:00
study_552	metabo_552	factor	whole cell	http://purl.obolibrary.org/obo/GO_0005623	Zoe May Pendlington	01/10/2018 12:00
study_553	metabo_553	factor	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	Zoe May Pendlington	01/10/2018 12:00
study_554	metabo_554	factor	whole plant	http://purl.obolibrary.org/obo/UBERON_0000468	Zoe May Pendlington	01/10/2018 12:00
study_555	metabo_555	factor	Wine	http://purl.obolibrary.org/obo/NCIT_C66822	Jiakang Chang	28/09/2018 12:00
study_556	metabo_556	factor	Wolffia	http://purl.obolibrary.org/obo/NCBITaxon_161109	Jiakang Chang	28/09/2018 12:00
study_557	metabo_557	factor	Xenopus laevis	http://purl.obolibrary.org/obo/NCBITaxon_8355	Zoe May Pendlington	01/10/2018 12:00
study_558	metabo_558	factor	xylem	http://purl.obolibrary.org/obo/PO_0005352	Zoe May Pendlington	01/10/2018 12:00
study_559	metabo_559	factor	Yoldia eightsi	http://purl.obolibrary.org/obo/NCBITaxon_1608987	Jiakang Chang	28/09/2018 12:00
study_560	metabo_560	factor	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	Zoe May Pendlington	01/10/2018 12:00
study_561	metabo_561	factor	Zea mays subsp. mays	http://purl.obolibrary.org/obo/NCBITaxon_381124	Zoe May Pendlington	01/10/2018 12:00
